"time","I.re","I.im"
0.86899999999999999,9.9998085663173726e-06,2.5791650427660131e-10
0.86920000000000008,9.9998085695656914e-06,2.579273548401046e-10
0.86940000000000006,9.9998085728393162e-06,2.5793776077323188e-10
0.86960000000000004,9.999808576414356e-06,2.5794889652868329e-10
0.86980000000000002,9.9998085796286342e-06,2.5795979368245744e-10
0.87,9.9998085828070525e-06,2.579708312689735e-10
0.87020000000000008,9.9998085860732726e-06,2.5798166029135651e-10
0.87040000000000006,9.9998085894160745e-06,2.5799258380038348e-10
0.87060000000000004,9.9998085923356412e-06,2.5800309671489252e-10
0.87080000000000002,9.9998085959508473e-06,2.5801415817500263e-10
0.871,9.9998085992941355e-06,2.5802501649881044e-10
0.87120000000000009,9.9998086026391872e-06,2.5803589469657297e-10
0.87140000000000006,9.9998086055059109e-06,2.5804687788251411e-10
0.87160000000000004,9.9998086089446275e-06,2.5805768113914913e-10
0.87180000000000002,9.9998086124236934e-06,2.5806840949754823e-10
0.872,9.9998086157286736e-06,2.5807926449799229e-10
0.87220000000000009,9.9998086189806652e-06,2.5808993878708297e-10
0.87240000000000006,9.9998086222515659e-06,2.5810086218745253e-10
0.87260000000000004,9.9998086256412715e-06,2.5811187028604237e-10
0.87280000000000002,9.9998086290125711e-06,2.5812269548166515e-10
0.873,9.9998086323399452e-06,2.581338152515007e-10
0.87320000000000009,9.9998086356818459e-06,2.5814430299618366e-10
0.87340000000000007,9.9998086387952087e-06,2.5815529675454262e-10
0.87360000000000004,9.9998086421700946e-06,2.5816621863571785e-10
0.87380000000000002,9.9998086453615368e-06,2.5817693621375492e-10
0.874,9.9998086485398704e-06,2.5818804610708343e-10
0.87420000000000009,9.9998086519205974e-06,2.5819879187095597e-10
0.87440000000000007,9.9998086553278332e-06,2.5820957798255123e-10
0.87460000000000004,9.9998086585474749e-06,2.5822036929445977e-10
0.87480000000000002,9.9998086619263689e-06,2.5823117053232928e-10
0.875,9.99980866505168e-06,2.582421748929467e-10
0.87520000000000009,9.9998086683437599e-06,2.5825300302608976e-10
0.87540000000000007,9.9998086718073691e-06,2.5826368136820952e-10
0.87560000000000004,9.9998086753699711e-06,2.5827463781696693e-10
0.87580000000000002,9.9998086782543198e-06,2.5828562197610561e-10
0.876,9.9998086819118115e-06,2.5829634696295582e-10
0.87620000000000009,9.9998086849370879e-06,2.5830720070439139e-10
0.87640000000000007,9.9998086880397103e-06,2.5831796255517808e-10
0.87660000000000005,9.9998086915940079e-06,2.5832881267370587e-10
0.87680000000000002,9.9998086950845562e-06,2.5833971967002551e-10
